,0,1,2,3,4
JPM,0.2204,0.19575,0.1738,0.19115,0.2189
KR,0.2892,0.1475,0.1245,0.14995,0.28885
OGN,0.22435,0.1915,0.1696,0.19505,0.2195
PG,0.14185,0.23695,0.23325,0.24215,0.1458
PPL,0.15085,0.225,0.23245,0.23605,0.15565
PRU,0.23275,0.18625,0.1585,0.1875,0.235
PYPL,0.3128,0.13505,0.10725,0.13515,0.30975
RE,0.2175,0.19805,0.173,0.19755,0.2139
ROL,0.2981,0.1472,0.1158,0.14405,0.29485
ROST,0.28595,0.1551,0.1227,0.1522,0.28405
UNH,0.18915,0.21345,0.18915,0.21565,0.1926
URI,0.2776,0.1542,0.133,0.1579,0.2773
V,0.23225,0.1945,0.1643,0.1852,0.22375
VRSK,0.20345,0.20325,0.18235,0.20795,0.203
WRK,0.2294,0.18515,0.1661,0.1905,0.22885
XOM,0.24265,0.18045,0.15615,0.1777,0.24305
IVV,0.1721,0.22265,0.2096,0.2264,0.16925
IWM,0.21925,0.19485,0.17255,0.19135,0.222
EWU,0.1815,0.21665,0.1975,0.21745,0.1869
EWG,0.23425,0.18335,0.16,0.18305,0.23935
EWL,0.09695,0.26145,0.28445,0.26135,0.0958
EWQ,0.2197,0.1944,0.17195,0.19355,0.2204
IEUS,0.01845,0.25915,0.4434,0.26215,0.01685
EWJ,0.181,0.219,0.19785,0.2222,0.17995
EWT,0.22155,0.19615,0.17135,0.1939,0.21705
MCHI,0.232,0.18995,0.1569,0.19,0.23115
INDA,0.124,0.24855,0.2556,0.2497,0.12215
EWY,0.2162,0.1947,0.1764,0.19835,0.21435
EWA,0.17625,0.22025,0.2008,0.22115,0.18155
EWH,0.2317,0.18785,0.16285,0.1831,0.2345
EWZ,0.2488,0.17955,0.153,0.1729,0.24575
EWC,0.1413,0.2399,0.23925,0.2405,0.13905
IEMG,0.19005,0.21235,0.19425,0.21515,0.1882
LQD,0.0072,0.24515,0.4991,0.23925,0.0093
HYG,0.0175,0.26115,0.4429,0.2606,0.01785
SHY,0.0,0.0824,0.83205,0.08555,0.0
IEF,0.00675,0.23985,0.50785,0.23805,0.0075
TLT,0.1009,0.25805,0.28365,0.259,0.0984
SEGA.L,0.2089,0.19675,0.1757,0.1978,0.22085
IEAA.L,0.21605,0.1989,0.17125,0.19745,0.21635
HIGH.L,0.2116,0.19925,0.17105,0.20015,0.21795
JPEA.L,0.2117,0.19635,0.1702,0.20435,0.2174
IAU,0.0934,0.2569,0.2893,0.2649,0.0955
SLV,0.18045,0.2192,0.20465,0.21685,0.17885
GSG,0.19845,0.2149,0.18645,0.20635,0.19385
REET,0.0689,0.2681,0.3257,0.26775,0.06955
ICLN,0.26965,0.16365,0.13375,0.1655,0.26745
IXN,0.1813,0.2211,0.20205,0.2162,0.17935
IGF,0.0827,0.2681,0.2952,0.26935,0.08465
IUVL.L,0.2144,0.19655,0.1771,0.1961,0.21585
IUMO.L,0.2112,0.2018,0.1755,0.19885,0.21265
SPMV.L,0.2118,0.1979,0.17705,0.19775,0.2155
IEVL.L,0.21105,0.19825,0.17625,0.19885,0.2156
IEFM.L,0.2224,0.1995,0.1708,0.19385,0.21345
MVEU.L,0.2107,0.1969,0.17595,0.20185,0.2146
XLK,0.23,0.1931,0.1639,0.18905,0.22395
XLF,0.1959,0.2088,0.1866,0.2129,0.1958
XLV,0.12395,0.2549,0.24655,0.2482,0.1264
XLE,0.2409,0.1841,0.1524,0.1798,0.2428
XLY,0.2398,0.1828,0.15705,0.1808,0.23955
XLI,0.1473,0.23825,0.23045,0.2379,0.1461
XLC,0.1912,0.21315,0.1941,0.21605,0.1855
XLU,0.04535,0.27215,0.3629,0.2731,0.0465
XLP,0.10835,0.25815,0.26325,0.26075,0.1095
XLB,0.16725,0.224,0.2124,0.23005,0.1663
VXX,0.4092,0.0633,0.04965,0.06825,0.4096
