,0,1,2,3,4
SPMV.L,0.214,0.20065,0.17195,0.1973,0.2161
IEVL.L,0.21095,0.1962,0.1757,0.2018,0.21535
IEFM.L,0.2111,0.1952,0.17715,0.20015,0.2164
MVEU.L,0.21375,0.20055,0.17465,0.1971,0.21395
XLK,0.20725,0.2014,0.1823,0.2023,0.20675
XLF,0.20615,0.20285,0.17625,0.204,0.21075
XLV,0.1101,0.2583,0.26685,0.2545,0.11025
XLE,0.2468,0.18025,0.1498,0.17285,0.2503
XLY,0.2245,0.19195,0.1679,0.18745,0.2282
XLI,0.15975,0.23035,0.22145,0.22505,0.1634
XLC,0.17815,0.2193,0.20325,0.2245,0.1748
XLU,0.1009,0.26775,0.2711,0.2545,0.10575
XLP,0.1011,0.2576,0.2866,0.2581,0.0966
XLB,0.17675,0.219,0.213,0.2138,0.17745
VXX,0.4024,0.0695,0.0587,0.07105,0.39835
