,0,1,2,3,4
HYG,0.1137,0.2456,0.28025,0.24835,0.1121
SHY,0.07665,0.25645,0.33065,0.2592,0.07705
IEF,0.1128,0.24805,0.27705,0.2454,0.1167
TLT,0.1723,0.21575,0.21975,0.2161,0.1761
SEGA.L,0.2084,0.19905,0.1887,0.1998,0.20405
IEAA.L,0.20605,0.19745,0.1888,0.196,0.2117
HIGH.L,0.21005,0.1976,0.19305,0.1963,0.203
JPEA.L,0.20535,0.1953,0.19425,0.1957,0.2094
IAU,0.1563,0.23145,0.232,0.22385,0.1564
SLV,0.21235,0.19805,0.19115,0.1963,0.20215
GSG,0.2626,0.16545,0.1493,0.16165,0.261
REET,0.16065,0.22345,0.23355,0.2247,0.15765
ICLN,0.2352,0.1835,0.1752,0.1809,0.2252
IXN,0.20415,0.2012,0.1973,0.19805,0.1993
IGF,0.15115,0.22775,0.24575,0.2343,0.14105
IUVL.L,0.2061,0.19375,0.1924,0.1992,0.20855
IUMO.L,0.2048,0.1954,0.191,0.20255,0.20625
SPMV.L,0.2028,0.19525,0.19475,0.19615,0.21105
IEVL.L,0.2078,0.1966,0.19,0.20035,0.20525
IEFM.L,0.20435,0.1951,0.1956,0.19245,0.2125
MVEU.L,0.20795,0.1943,0.19325,0.1944,0.2101
XLK,0.19305,0.20695,0.20275,0.206,0.19125
XLF,0.1842,0.2115,0.21135,0.20655,0.1864
XLV,0.13955,0.23605,0.2499,0.2282,0.1463
XLE,0.2273,0.1864,0.17635,0.18735,0.2226
XLY,0.2033,0.2006,0.19415,0.1911,0.21085
XLI,0.16695,0.21965,0.2306,0.21785,0.16495
XLC,0.17925,0.20885,0.2233,0.2135,0.1751
XLU,0.15065,0.22485,0.24115,0.2273,0.15605
XLP,0.13535,0.2377,0.25315,0.23425,0.13955
XLB,0.1707,0.2232,0.2216,0.21395,0.17055
VXX,0.38775,0.0778,0.06865,0.0753,0.3905
